"text,label"
"Received: from mail.evil-attacker.ru ([45.12.13.1]) by mx.yourcompany.com; Fri 28 Aug 2026\nFrom: ""Security"" <admin@paypal-update.ru>\nSubject: URGENT: Account Suspended\n\nYour account has been breached. Click the link to reset your password immediately.,1"
"Received: from marketing.spam.cn ([220.181.38.148]) by mx.yourcompany.com; Fri 28 Aug 2026\nFrom: ""Global Lottery"" <win@lottery.cn>\nSubject: You won $1M!\n\nClaim your million dollars now by sending us your bank details.,1"
"Received: from proxy-node.de ([46.101.10.10]) by mx.yourcompany.com; Fri 28 Aug 2026\nFrom: ""CEO"" <ceo@company-board.de>\nSubject: Wire Transfer URGENT\n\nI am in a meeting. Please transfer $50,000 to the attached vendor account immediately.,1"
"Received: from botnet.br ([177.10.23.45]) by mx.yourcompany.com; Fri 28 Aug 2026\nFrom: ""Bank Support"" <support@fake-bank.br>\nSubject: Statement Attached\n\nPlease review your overdue invoice attached to this email.,1"
"Received: from vpn-exit.us ([54.175.22.11]) by mx.yourcompany.com; Fri 28 Aug 2026\nFrom: ""IT Helpdesk"" <it@microsoft-auth.us>\nSubject: Mailbox Full\n\nYour mailbox is full. Migrate your account using the secure link below.,1"
"Received: from cyber-cafe.ng ([41.206.11.20]) by mx.yourcompany.com; Fri 28 Aug 2026\nFrom: ""Prince"" <invest@royal.ng>\nSubject: Investment Opportunity\n\nI need a trusted partner to hold $10M in foreign funds.,1"
"Received: from compromised-server.jp ([122.215.10.10]) by mx.yourcompany.com; Fri 28 Aug 2026\nFrom: ""Billing Dept"" <billing@fake-vendor.jp>\nSubject: Overdue Invoice #9932\n\nYour payment failed. Open the attached document to see the penalty fee.,1"
"Received: from ransom-group.za ([197.234.219.1]) by mx.yourcompany.com; Fri 28 Aug 2026\nFrom: ""Anonymous"" <hack@darkweb.za>\nSubject: We have your data\n\nPay 2 Bitcoin to the wallet address below or we leak your database.,1"
"Received: from scam-net.au ([103.21.244.0]) by mx.yourcompany.com; Fri 28 Aug 2026\nFrom: ""Tax Agency"" <refund@gov-tax.au>\nSubject: Tax Refund Approved\n\nYou are owed a $500 refund. Click here to claim it.,1"
"Received: from extortion.ae ([82.102.16.1]) by mx.yourcompany.com; Fri 28 Aug 2026\nFrom: ""Hacker"" <pwned@crypto.ae>\nSubject: I recorded you\n\nI have a video of you. Send $1000 in crypto or I send it to your contacts.,1"
